identifier,address,chain,name,symbol,decimals,coingecko,cryptocompare,started,protocol
eip155:1/erc20:0x1aBaEA1f7C830bD89Acc67eC4af516284b1bC33c,0x1aBaEA1f7C830bD89Acc67eC4af516284b1bC33c,1,Euro Coin,EUROC,6,euro-coin,EUROC,1652995438,
eip155:1/erc20:0xFCc5c47bE19d06BF83eB04298b026F81069ff65b,0xFCc5c47bE19d06BF83eB04298b026F81069ff65b,1,Yearn CRV,yCRV,18,yearn-crv,,1664283143,
eip155:1/erc20:0x27B5739e22ad9033bcBf192059122d163b60349D,0x27B5739e22ad9033bcBf192059122d163b60349D,1,Staked Yearn CRV Vault,st-yCRV,18,staked-yearn-crv-vault,,1664285315,yearn_vaults_v2
eip155:1/erc20:0xc97232527B62eFb0D8ed38CF3EA103A6CcA4037e,0xc97232527B62eFb0D8ed38CF3EA103A6CcA4037e,1,LP Yearn CRV Vault,lp-yCRV,18,lp-yearn-crv-vault,,1664285303,yearn_vaults_v2
eip155:42161/erc20:0xfc5A1A6EB076a2C7aD06eD22C90d7E710E35ad0a,0xfc5A1A6EB076a2C7aD06eD22C90d7E710E35ad0a,42161,GMX,GMX,18,gmx,GMX,1626958493,
eip155:43114/erc20:0x31c994AC062C1970C086260Bc61babB708643fAc,0x31c994AC062C1970C086260Bc61babB708643fAc,43114,XANA,XETA,18,xana,XETA,1658071888,
eip155:1/erc20:0x0ab87046fBb341D058F17CBC4c1133F25a20a52f,0x0ab87046fBb341D058F17CBC4c1133F25a20a52f,1,Governance OHM,gOHM,18,governance-ohm,gOHM,1637726104,
eip155:1/erc20:0x4332f8A38f14BD3D8D1553aF27D7c7Ac6C27278D,0x4332f8A38f14BD3D8D1553aF27D7c7Ac6C27278D,1,Ape Finance,APEFI,18,ape-finance,,1652704674,
eip155:1/erc20:0x41D5D79431A913C4aE7d69a668ecdfE5fF9DFB68,0x41D5D79431A913C4aE7d69a668ecdfE5fF9DFB68,1,Inverse DAO,INV,18,inverse-finance,INV,1608575013,
eip155:1/erc20:0x2a3bFF78B79A009976EeA096a51A948a3dC00e34,0x2a3bFF78B79A009976EeA096a51A948a3dC00e34,1,Wilder,WILD,18,wilder-world,WILD,1620414989,
eip155:1/erc20:0x6988A804C74Fd04F37DA1EA4781CEa68c9C00F86,0x6988A804C74Fd04F37DA1EA4781CEa68c9C00F86,1,Tribal Token,TRIBL,18,tribal-token,TRIBL,1659640005,
eip155:1/erc20:0x881Ba05de1E78f549cC63a8f6Cabb1d4AD32250D,0x881Ba05de1E78f549cC63a8f6Cabb1d4AD32250D,1,00 Token,00,18,zer0zer0,00,1650557529,
eip155:56/erc20:0xfEB4e9B932eF708c498Cc997ABe51D0EE39300cf,0xfEB4e9B932eF708c498Cc997ABe51D0EE39300cf,56,GetKicks,KICKS,18,getkicks,,1665418905,
eip155:1/erc20:0x4b13006980aCB09645131b91D259eaA111eaF5Ba,0x4b13006980aCB09645131b91D259eaA111eaF5Ba,1,Mycelium,MYC,18,mycelium,,1660182677,
eip155:42161/erc20:0xC74fE4c715510Ec2F8C61d70D397B32043F55Abe,0xC74fE4c715510Ec2F8C61d70D397B32043F55Abe,42161,Mycelium,MYC,18,mycelium,,1660277009,
eip155:1/erc20:0x1a7e4e63778B4f12a199C062f3eFdD288afCBce8,0x1a7e4e63778B4f12a199C062f3eFdD288afCBce8,1,agEUR,agEUR,18,ageur,AGEUR,1634982805,
eip155:42220/erc20:0xD8763CBa276a3738E6DE85b4b3bF5FDed6D6cA73,0xD8763CBa276a3738E6DE85b4b3bF5FDed6D6cA73,42220,Celo Euro,cEUR,18,celo-euro,CEUR,1615767215,
eip155:250/erc20:0x841FAD6EAe12c286d1Fd18d1d525DFfA75C7EFFE,0x841FAD6EAe12c286d1Fd18d1d525DFfA75C7EFFE,250,SpookyToken,BOO,18,spookyswap,BOO,1619353578,
eip155:1/erc20:0x9fa69536d1cda4A04cFB50688294de75B505a9aE,0x9fa69536d1cda4A04cFB50688294de75B505a9aE,1,DeRace Token,DERC,18,derace,DERC,1626976430,
eip155:56/erc20:0x373E768f79c820aA441540d254dCA6d045c6d25b,0x373E768f79c820aA441540d254dCA6d045c6d25b,56,DeRace Token,DERC,18,derace,DERC,1627900369,
eip155:137/erc20:0xB35fcBCF1fD489fCe02Ee146599e893FDCdC60e6,0xB35fcBCF1fD489fCe02Ee146599e893FDCdC60e6,137,DeRace Token,DERC,18,derace,DERC,,
